Title,Company,Date Posted,Location
"Assistant Manager, Host",One&Only Le Saint Geran,05/07/2025,Flacq
Housekeeping Supervisor,No Company,05/07/2025,Grand Port
Assistant Gestionnaire de Flotte Automobile (H/F),Service Plus Monde SPM Ltée,05/07/2025,Port Louis
Sales & Aftersales Representative,DIGITALGAP AGENCY LTD,05/07/2025,Plaine Wilhems
Kids Club Agent,One&Only Le Saint Geran,05/07/2025,Flacq
E​n​g​i​n​e​e​r​,No Company,05/07/2025,Port Louis
People Operations Assistant,Heritage Awali Golf & Spa Resort,05/07/2025,Savanne
Graphic Designer (Print),Publicis Production,04/07/2025,Moka
R​e​t​o​u​c​h​e​r​,Publicis Production,04/07/2025,Moka
FRONT OFFICE ASSISTANT,The Oberoi,04/07/2025,Pamplemousses
Specialist Marketing Solutions,Concentrix CVG (Mauritius) Ltd,30/06/2025,Plaine Wilhems
English Customer Service Representatives (Email & Chat),Apollo blake,18/06/2025,Mauritius
Officer Reservation/ Agent,One&Only Le Saint Geran,04/07/2025,Flacq
Import and Export Executive,Lilmo Ltd,04/07/2025,Pamplemousses
Service Advisor,Novengi Ltd,04/07/2025,Port Louis
Téléprospecteur | Téléprospectrice Bilingue (FR et UK) Senior,HDM Ltd,16/06/2025,Port Louis
Internal Auditor (2526-IA),Alentaris Recruitment Ltd,04/07/2025,Port Louis
Accounts Payable Officer (2526-APO),Alentaris Recruitment Ltd,04/07/2025,Plaine Wilhems
Credit Control Officer (2526-CCO),Alentaris Recruitment Ltd,04/07/2025,Plaine Wilhems
Senior HR Officer,Atalian Interactive Ltd,04/07/2025,Port Louis
Online Sales Representative,Hardy Henry Services Ltd (Hardy Henry Group),04/07/2025,Port Louis
Comptable junior,Atalian Interactive Ltd,04/07/2025,Port Louis
Chargé(e) de facturation - POSSIBILITÉ DE TÉLÉTRAVAIL,Atalian Interactive Ltd,04/07/2025,Port Louis
Support Informatique,Atalian Interactive Ltd,04/07/2025,Port Louis
IT Support Officer,Novengi Ltd,04/07/2025,Port Louis
Gestionnaire de rendez-vous,Atalian Interactive Ltd,04/07/2025,Port Louis
Chargé de recouvrement - Télétravail possible,Atalian Interactive Ltd,04/07/2025,Port Louis
Operations Assistant,Leal & Co Ltd,12/06/2025,Port Louis
GUEST SPECIALIST – HOSPITALITY INDUSTRY,Concentrix CVG (Mauritius) Ltd,04/07/2025,Plaine Wilhems
CUSTOMER SERVICE EXECUTIVE (ENTERTAINMENT INDUSTRY) - NIGHT SHIFT - ENGLISH ONLY,Concentrix CVG (Mauritius) Ltd,04/07/2025,Plaine Wilhems
